Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
ROBBERY,720 ILCS 5 18-1(a) [1100000],720 ILCS 5/18-1(a),F2,,ROBBERY,,
ROBBERY,720 ILCS 5/18-1(a),720 ILCS 5/18-1(a),F2,,ROBBERY,,
ATTEMPT AGGRAVATED ROBBERY,,720 ILCS 5/18-1(b),F1,,ROBBERY: AGGRAVATED,,
AGG ROBBERY/INDICATE ARM W/FIR,720 ILCS 5/18-1(b)(1),720 ILCS 5/18-1(b),F1,,ROBBERY: AGGRAVATED,,
AGGRAVATED ROBBERY,720 ILCS 5/18-3(a),720 ILCS 5/18-1(b),F1,,ROBBERY: AGGRAVATED,,
ROBBERY-AGGRAVTED,,720 ILCS 5/18-1(b),F1,,ROBBERY: AGGRAVATED,,
"SEAT BELTS/1ST,2ND",625 ILCS 5/12-603,625 ILCS 5/12-603,NONE,,SEAT BELT VIOLATION,,
2ND DEGREE MURDER,720 ILCS 5/9-2,720 ILCS 5/9-2,F1,,SECOND DEGREE MURDER,,
SELL 100<500  ITEMS $300<$10K,765 ILCS 1040/2,765 ILCS 1040/2,MA,,SELLING COUNTERFEIT ITEMS,,
SELL 500<2K ITEMS/$10K<$100K,765 ILCS 1040/2,765 ILCS 1040/2,MA,,SELLING COUNTERFEIT ITEMS,,
SERIAL/ID NUMBER DEFACEMENT,720 ILCS 5/17-30(c),720 ILCS 5/17-30(c),MB,,SERIAL / ID NUMBER DEFACEMENT,,
SEX OFFENDER/FALSE INFO/2ND+,730 ILCS 150/10,730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
SEX OFFENDER/FALSE INFO/2+,730 ILCS 150/10(a),730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
FAIL TO RPT WKLY/NO ADDR/2ND+,730 ILCS 150/3(a),730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
VIOLATE SEX OFFENDER REGIS/2+,730 ILCS 150/3(a),730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
FAILURE TO REPORT ANNUALLY/2+,730 ILCS 150/6,730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
FAIL TO RPT CHNG ADDR/EMPL/2+,730 ILCS 150/6,730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
NOTIFICATION/NO FIXED ADDR/2+,730 ILCS 150/6,730 ILCS 150/10(2+),F2,,SEX OFFENDER FAILURE TO REGISTER,,
SEX OFFENDER REGIS/FALSE INFO,730 ILCS 150 3(a) [11411],730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
SEX OFFENDER REGIS/FALSE INFO,730 ILCS 150/10,730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
SEX OFFENDER REGIS/FALSE INFO,730 ILCS 150/10(a),730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
SEX OFFENDER FAIL REG EMPLOYER,730 ILCS 150/3(a-5),730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
SEX OFFENDER REGIS/FALSE INFO,730 ILCS 150/3(a),730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
VIOLATE SEX OFFENDER REGIS,730 ILCS 150/3(a),730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
FAIL REG 3 DAYS NEW RESID/SCH,730 ILCS 150/3(b),730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
SEX VIOL/DNGR FAIL TO RPT/2ND+,730 ILCS 150/6,730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
FAIL TO RPT CHNG ADDRESS/EMPL,730 ILCS 150/6,730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
FAILURE TO REPORT ANNUALLY,730 ILCS 150/6,730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
FAIL REPORT CHANGE OF ADDRESS,730 ILCS 150/6,730 ILCS 150/10,F3,,SEX OFFENDER FAILURE TO REGISTER,,
SEX EXPLOITATION CHILD/SEX ACT,720 ILCS 5 11-9.1(a)(1) [10054],720 ILCS 5/11-9.1,F1,,SEXUAL EXPLOITATION OF A CHILD,,
SEX EXPLOIT CHILD<13/SEX ACT,720 ILCS 5/11-9.1(a)(1),720 ILCS 5/11-9.1,F1,,SEXUAL EXPLOITATION OF A CHILD,,
SEX EXPLOITATION CHILD/SEX ACT,720 ILCS 5/11-9.1(a)(1),720 ILCS 5/11-9.1,F1,,SEXUAL EXPLOITATION OF A CHILD,,
EXPLOIT CHILD<13/EXPOSE SELF,720 ILCS 5/11-9.1(a)(2),720 ILCS 5/11-9.1,F1,,SEXUAL EXPLOITATION OF A CHILD,,
PERMIT SEXUAL ABUSE OF CHILD,720 ILCS 5/11-9.1A(a),720 ILCS 5/11-9.1,F1,,SEXUAL EXPLOITATION OF A CHILD,,
SOLICITATION/MURDER,720 ILCS 5/8-1.1(a),720 ILCS 5/8-1.1(b),FX,,SOLICITATION FOR MURDER,,
SOLICITATION/MURDER/FOR HIRE,720 ILCS 5/8-1.2(a),720 ILCS 5/8-1.2(b),FX,,SOLICITATION FOR MURDER,,
SOLICITING FOR PROSTITUTE,720 ILCS 5/11-15(a)(1),720 ILCS 5/11-15(a)(1),F3,,SOLICITING FOR A PROSTITUTE,,
STALKING/APPREHENSION HARM/2ND,720 ILCS 5/12-7.3(a)(2),720 ILCS 5/12-7.3(2+),F3,,STALKING,,
STALKING/CAUSE FEAR/SAFETY/2+,720 ILCS 5/12-7.3(a)(1),720 ILCS 5/12-7.3(2+),F3,,STALKING,,
STALKING/HARM/FAM MEMBER/2ND,720 ILCS 5/12-7.3(a)(3),720 ILCS 5/12-7.3(2+),F3,,STALKING,,
STALK/PREV CONVIC/FOLLOW,720 ILCS 5/12-7.3(a-5)(1),720 ILCS 5/12-7.3,F4,,STALKING,,
STALKING/CAUSE FEAR FOR SAFETY,720 ILCS 5/12-7.3(a)(1),720 ILCS 5/12-7.3,F4,,STALKING,,
AGG STALKING/BODILY HARM,720 ILCS 5/12-7.4(a)(1),720 ILCS 5/12-7.4,F3,,STALKING: AGGRAVATED,,
AGG STALKING/VIO CIVIL / O/P,720 ILCS 5/12-7.4(a)(3),720 ILCS 5/12-7.4,F3,,STALKING: AGGRAVATED,,
AGG STALKING/VIO REST ORDER,720 ILCS 5/12-7.4(a)(3),720 ILCS 5/12-7.4(2+),F4,,STALKING: AGGRAVATED,,
STREET RACING,625 ILCS 5/11-506(a),625 ILCS 5/11-506(a),MA,,STREET RACING,,
THEFT >$100K/SCHOOL/WORSHIP,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-5.1),F1,,THEFT,,
THEFT/UNAUTHD CONTROL>$500K-1M,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-6.2),F1,,THEFT,,
THEFT/UNAUTHD CON/>100K-500K,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-6),F1,,THEFT,,
THEFT/UNAUTHD CONTROL/>100K,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-6),F1,,THEFT,,
THEFT/DECEPTION/>10K <100K,720 ILCS 5/16-1(a)(2),720 ILCS 5/16-1(a)(2)(b-10),F1,,THEFT,,
THEFT DECEP INTENT 10K<100K,720 ILCS 5/16-1(a)(2)(A),720 ILCS 5/16-1(a)(2)(b-10),F1,,THEFT,,
THFT DECEP/PROB DPRV RENT<100K,720 ILCS 5/16-1(a)(2)(C),720 ILCS 5/16-1(a)(2)(b-10),F1,,THEFT,,
THEFT/STOLEN PROPERTY>$500K-1M,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-6.2),F1,,THEFT,,
THEFT/$500-$10K/SCH/WRSHP/GOVT,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4.1),F2,,THEFT,,
THEFT/CON PERS <$300 SCH/GOVT,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4.1),F2,,THEFT,,
THEFT/UNAUTHD CON/>10K <100K,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-5),F2,,THEFT,,
THEFT CONTROL INTENT 10K<100K,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-5),F2,,THEFT,,
THEFT CON KNOW DPRV 10K<100K,720 ILCS 5 16-1(a)(1)(B) [11160],720 ILCS 5/16-1(a)(1)(b-5),F2,,THEFT,,
THEFT/DECEPTION/>$500 <10K,720 ILCS 5/16-1(a)(2),720 ILCS 5/16-1(a)(2)(b-9),F2,,THEFT,,
THEFT DECEPTION INTENT 500<10K,720 ILCS 5/16-1(a)(2)(A),720 ILCS 5/16-1(a)(2)(b-9),F2,,THEFT,,
THEFT/STOLEN/>10K <100K,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-5),F2,,THEFT,,
THEFT/UNAUTHD CONTROL/>500<10K,720 ILCS 5 16-1(a)(1) [15467],720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/UNAUTHD CONTROL/>500<10K,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/CONTROL/PERSON <$300,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/UNAUTHD CONTROL/>300<10K,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/CONTROL/PERSON <$500,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/UNAUTHD CONTROL/>$500K,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT CONTROL INTENT $500<10K,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT CON INTENT PERSON <$300,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT CON INTENT PERSON <$500,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/CONTROL INTENT>$500K,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THFT CON KNOW DEPRIVE 500<10K,720 ILCS 5/16-1(a)(1)(B),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT CON PROB DPRV PERS <$500,720 ILCS 5/16-1(a)(1)(C),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT >$300-$10K,720 ILCS 5/16-1(b)(4),720 ILCS 5/16-1(a)(1)(b-4),F3,,THEFT,,
THEFT/DECEPTION/<$500 PRIOR,720 ILCS 5/16-1(a)(2),720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT/DECEP/INTENT/<$300/1ST,720 ILCS 5 16-1(a)(2)(A) [1015600],720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT DECEP INTENT <$300 PRIOR,720 ILCS 5/16-1(a)(2)(A),720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT DECEP INTENT PERSON <500,720 ILCS 5/16-1(a)(2)(A),720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT DECEP INTENT <$500 PRIOR,720 ILCS 5/16-1(a)(2)(A),720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT DECEP INTENT PERSON <300,720 ILCS 5/16-1(a)(2)(A),720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT DECEP PROB DEPRIVE <$500,720 ILCS 5/16-1(a)(2)(C),720 ILCS 5/16-1(a)(2)(b-8),F3,,THEFT,,
THEFT/STOLEN/>$500 <10K,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-4),F3,,THEFT,,
THEFT/STOLEN <$500 PERSON,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-4),F3,,THEFT,,
THEFT/STOLEN/INTENT $500<10K,720 ILCS 5/16-1(a)(4)(A),720 ILCS 5/16-1(a)(4)(b-4),F3,,THEFT,,
THEFT/STOLEN/KNOW DPRV 500<10K,720 ILCS 5/16-1(a)(4)(B),720 ILCS 5/16-1(a)(4)(b-4),F3,,THEFT,,
THEFT/STOLEN/PROB DPRV 500<10K,720 ILCS 5/16-1(a)(4)(C),720 ILCS 5/16-1(a)(4)(b-4),F3,,THEFT,,
THEFT<$500/SCHOOL/WORSHIP/GOVT,720 ILCS 5 16-1(a)(1) [15465],720 ILCS 5/16-1(a)(1)(b-1.1),F4,,THEFT,,
THEFT/CON PERS <$500 SCH/GOVT,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-1.1),F4,,THEFT,,
THEFT/<$500/SCHOOL/WORSHIP,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-1.1),F4,,THEFT,,
THEFT/CONTROL <$500/PRIOR,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-2),F4,,THEFT,,
THEFT/CON/PRIOR CONVIC <300,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-2),F4,,THEFT,,
THEFT CON INTENT <$500 PRIOR,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-2),F4,,THEFT,,
THEFT CON INTENT <$300 PRIOR,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-2),F4,,THEFT,,
THEFT/SECOND OFFENSE,720 ILCS 5/16-1(b)(2),720 ILCS 5/16-1(a)(1)(b-2),F4,,THEFT,,
THEFT/<$500/SCHOOL/WORSHIP,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-1.1),F4,,THEFT,,
THEFT/STOLEN/ <$500 PRIOR CONV,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-2),F4,,THEFT,,
THEFT/STOLEN/INTENT <500 PRIOR,720 ILCS 5/16-1(a)(4)(A),720 ILCS 5/16-1(a)(4)(b-2),F4,,THEFT,,
THEFT,720 ILCS 5/16-1,720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT/UNAUTHD CON/<$300/1ST,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT/UNAUTHD CON/<$500,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT/CONTROL/INTENT/<$300/1ST,720 ILCS 5 16-1(a)(1)(A) [1015000],720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT:OBTAINS/EXERTS CONTROL-INTENDS TO DEPRIVE,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT CONTROL INTENT <$300,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT CONTROL INTENT <$500,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT CON KNOW DPRV <500 PRIOR,720 ILCS 5/16-1(a)(1)(B),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT CONTROL PROB DPRV <$500,720 ILCS 5/16-1(a)(1)(C),720 ILCS 5/16-1(a)(1)(b-1),MA,,THEFT,,
THEFT/BY THREAT/<$500,720 ILCS 5/16-1(a)(3),720 ILCS 5/16-1(a)(3)(b-1),MA,,THEFT,,
THEFT/STOLEN/<$500,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-1),MA,,THEFT,,
THEFT/STOLEN/<$300,720 ILCS 5/16-1(a)(4),720 ILCS 5/16-1(a)(4)(b-1),MA,,THEFT,,
THEFT/STOLEN/INTENT <$500,720 ILCS 5/16-1(a)(4)(A),720 ILCS 5/16-1(a)(4)(b-1),MA,,THEFT,,
THEFT STOLEN INTENT,720 ILCS 5/16-1(a)(4)(A),720 ILCS 5/16-1(a)(4)(b-1),MA,,THEFT,,
THFT LOST/MISLAID PROP/500-10K,720 ILCS 5/16-2,720 ILCS 5/16-2(d)(2),MA,,THEFT,,
THEFT OF LOST/MISLAID PROPERTY,720 ILCS 5/16-2,720 ILCS 5/16-2(d)(1),MB,,THEFT,,
THEFT LOST/MISLAID PROP/<$500,720 ILCS 5/16-2,720 ILCS 5/16-2(d)(1),MB,,THEFT,,
THEFT >$100K/SCHOOL/WORSHIP,720 ILCS 5/16-1(a)(1)(A),720 ILCS 5/16-1(a)(1)(b-6.1),FX,,THEFT,,
THEFT/UNAUTHD CONTROL >$1M,720 ILCS 5/16-1(a)(1),720 ILCS 5/16-1(a)(1)(b-6.3),FX,,THEFT,,
THEFT/LABOR/SERVICES/PROPERTY,720 ILCS 5/16-3(a),720 ILCS 5/16-3(a),MA,,THEFT OF LABOR / SERVICES,,
THREATEN PUBLIC OFFICIAL,720 ILCS 5/12-9,720 ILCS 5/12-9,F3,,THREATEN PUBLIC OFFICIAL,Class 2 for second offense,
THREATEN A PUBLIC OFFICIAL,720 ILCS 5/12-9(a),720 ILCS 5/12-9,F3,,THREATEN PUBLIC OFFICIAL,,
AID/ABET STATE/TITLE/CERTIF,625 ILCS 5 4-104(a)(1) [10839],625 ILCS 5/4-104(a)(1),F1,,TITLE AND REGISTRATION POSSESSION OFFENSE,,
AID/ABET STATE/TITLE/CERTIF,625 ILCS 5/4-104(a)(1),625 ILCS 5/4-104(a)(1),F1,,TITLE AND REGISTRATION POSSESSION OFFENSE,,
POSS STOLEN TITLE/CERTIF/PLATE,625 ILCS 5/4-104(a)(3),625 ILCS 5/4-104(a)(3),F2,,TITLE AND REGISTRATION POSSESSION OFFENSE,,
UNLWFL DISP TITLE/CERTIF/PLT/2,625 ILCS 5/4-104(a)(4),625 ILCS 5/4-104(a)(4),MA,,TITLE AND REGISTRATION POSSESSION OFFENSE,,
OBSTRUCTION OF TRAFFIC,,625 ILCS 5/11-1303(f),PETTY,,TRAFFIC OBSTRUCTION,,
CONTROLLED SUB TRAFFICKING,720 ILCS 570/401.1(a),720 ILCS 570/401.1,F2,,TRAFFICKING: CONTROLLED SUBSTANCE,,
UNAUTHD POSS SCRIPT/ALTERED,720 ILCS 570/406.2(a)(1),720 ILCS 570/406.2(a),F4,,UNAUTHORIZED POSSESSION OF A PRESCRIPTION FORM,,
POSS BLANK/COUNT SCRIPT,720 ILCS 570/406.2(a)(2),720 ILCS 570/406.2(a),F4,,UNAUTHORIZED POSSESSION OF A PRESCRIPTION FORM,,
POSS SCRIPT/NO PRESCRIBER,720 ILCS 570/406.2(a)(3),720 ILCS 570/406.2(a),F4,,UNAUTHORIZED POSSESSION OF A PRESCRIPTION FORM,,
VIDEO UNDER CLOTHES/VICTIM<18,720 ILCS 5/26-4(a-10),720 ILCS 5/26-4(a-10)(<18),F3,,UNAUTHORIZED VIDEOTAPING,,
UNAUTHD VIDEOTAPING/VICTIM <18,720 ILCS 5/26-4(a),720 ILCS 5/26-4(a)(<18),F3,,UNAUTHORIZED VIDEOTAPING,,
UNLAWFUL POSSESSION OF HANDGUN,720 ILCS 5/24-3.1(a)(1),720 ILCS 5/24-3.1(a)(1)(handgun),F4,,UNLAWFUL POSSESSION OF A FIREARM,,
UNLAWFUL POSSESSION OF HANDGUN,720 ILCS 5/24-3.1(a)(2),720 ILCS 5/24-3.1(a)(2)(handgun),F4,,UNLAWFUL POSSESSION OF A FIREARM,,
UNLAWFUL POSSESSION OF FIREARM:UNDER 18,720 ILCS 5/24-3.1(a)(1),720 ILCS 5/24-3.1(a)(1),MA,,UNLAWFUL POSSESSION OF A FIREARM,,
AGGRAVATED UNLAWFUL RESTRAINT,720 ILCS 5/10-3.1(a),720 ILCS 5/10-3.1,F3,,UNLAWFUL RESTRAINT,,
UNLAWFUL RESTRAINT,720 ILCS 5/10-3,720 ILCS 5/10-3,F4,,UNLAWFUL RESTRAINT,,
GUNRUNNING,720 ILCS 5/24-3A(a),720 ILCS 5/24-3(A)(a),F4,,UNLAWFUL SALE OR DELIVERY OF FIREARMS,,
UNLAWFUL SALE FIREARM TO FELON,720 ILCS 5/24-3(A)(d),720 ILCS 5/24-3(A)(d),F4,,UNLAWFUL SALE OR DELIVERY OF FIREARMS,,
MACHINE GUN/AUTOMATIC WEAPON,720 ILCS 5/24-1(a)(7)(i),720 ILCS 5/24-1(a)(7)(i),F2,,UNLAWFUL USE OF A WEAPON,,
MACHINE GUN/AUTO WEAPON/VEH,720 ILCS 5/24-1(a)(7)(i),720 ILCS 5/24-1(a)(7)(i),F2,,UNLAWFUL USE OF A WEAPON,,
RIFLE<16IN/SHOTGUN<18IN/SCH/PK,720 ILCS 5/24-1(a)(7)(ii),720 ILCS 5/24-1(a)(7)(ii),F3,,UNLAWFUL USE OF A WEAPON,,
RIFLE <16 IN/SHOTGUN <18 IN,720 ILCS 5/24-1(a)(7)(ii),720 ILCS 5/24-1(a)(7)(ii),F3,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSSESS FIREARM IN BAR,720 ILCS 5/24-1(a)(8),720 ILCS 5/24-1(a)(8),F4,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSSESS CONCEALED GUN,720 ILCS 5/24-1(a)(9),720 ILCS 5/24-1(a)(9),F4,,UNLAWFUL USE OF A WEAPON,,
EX-CON/CARRY/POSS CONCEAL GUN,720 ILCS 5/24-1(a)(9),720 ILCS 5/24-1(a)(9),F4,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSS CONCEAL GUN SCHOOL,720 ILCS 5/24-1(a)(9),720 ILCS 5/24-1(a)(9),F4,,UNLAWFUL USE OF A WEAPON,,
UNLAWFUL USE OF WEAPONS:SALE/USE OF BLUDGEON/KNIFE,720 ILCS 5/24-1(a)(1,720 ILCS 5/24-1(a)(1),MA,,UNLAWFUL USE OF A WEAPON,,
UNLAWFUL USE BLACK-JACK/KNIFE,720 ILCS 5/24-1(a)(1),720 ILCS 5/24-1(a)(1),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSS FIREARM PUBLIC/SCH,720 ILCS 5/24-1(a)(10),720 ILCS 5/24-1(a)(10),MA,,UNLAWFUL USE OF A WEAPON,,
UNLAWFUL USE OF WEAPONS:POSSESS FIREARM IN PUBLIC,720 ILCS 5/24-1(a)(10),720 ILCS 5/24-1(a)(10),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSS FIREARM/PUBLIC/2ND,720 ILCS 5/24-1(a)(10),720 ILCS 5/24-1(a)(10),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY POSSESS FIREARM PUB/2ND,720 ILCS 5/24-1(a)(10),720 ILCS 5/24-1(a)(10),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSSES FIREARM IN PUBLIC,720 ILCS 5/24-1(a)(10),720 ILCS 5/24-1(a)(10),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSS FIREARM/SCHOOL/PARK,720 ILCS 5/24-1(a)(4),720 ILCS 5/24-1(a)(4),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSSESS FIREARM/2ND&SUBQ,720 ILCS 5/24-1(a)(4),720 ILCS 5/24-1(a)(4),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSSESS FIREARM SCHOOL,720 ILCS 5/24-1(a)(4),720 ILCS 5/24-1(a)(4),MA,,UNLAWFUL USE OF A WEAPON,,
EX-CON CARRY/POSSESS FIREARM,720 ILCS 5/24-1(a)(4),720 ILCS 5/24-1(a)(4),MA,,UNLAWFUL USE OF A WEAPON,,
CARRY/POSSESS FIREARM/1ST,720 ILCS 5/24-1(a)(4),720 ILCS 5/24-1(a)(4),MA,,UNLAWFUL USE OF A WEAPON,,
UNLAWFUL USE OF A WEAPON,720 ILCS 5/24-1,720 ILCS 5/24-1,FX,"A, 4, 3, 2, X",UNLAWFUL USE OF A WEAPON,Need more information to determine class,
AGG UUW/VEHICLE/LOADED/NO FCCA 2+,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6(2+),F2,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEH/UNLOAD/NO FCCA/2+,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6(2+),F2,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UNLWFL USE WEAPON/PERS/2+,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6(2+),F2,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/LOADED/NO FCCA/FOID/2+,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6(2+),F2,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERS/LOADED/NO FCCA/2+,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6(2+),F2,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UNLAWFUL USE OF WEAPON/VEH,720 ILCS 5 24-1.6(a)(1) [12474],720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEH/FIR LOADED/NO FOID,720 ILCS 5 24-1.6(a)(1) [15729],720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEHICLE/<21,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEH/PREV CONVICTION,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEHICLE/NO FOID,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEHICLE/LOADED FIREARM,720 ILCS 5/24-1.6(A)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEH/FIR LOADED/NO FOID,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/UNLOADED/NO FCCA,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/VEHICLE/LOADED/NO FCCA,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UNLAWFUL USE OF WEAPON/VEH,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/LOADED/NO FCCA/FOID,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERSON/NO FOID,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERSON/PREV CONVICTION,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
